asdfasdfasdfasdfasd;flkajsdfl;aksdjfaslkkdfjsakdfj
1,4,10,19,29,32,42,30
2,3,5,7,14,26,34,35
3,4,5,6,12,25,37,45
4,12,15,24,36,41,44,42
5,1,8,17,34,39,45,27
6,1,8,11,15,18,45,7
7,9,10,14,25,27,31,11
8,7,10,17,29,33,44,5
9,8,21,28,31,36,45,43
10,7,9,10,13,31,35,24
11,11,18,26,27,40,41,25
12,7,8,20,29,33,38,9
13,12,14,15,24,27,32,3
14,15,17,25,37,42,43,13
15,2,4,6,11,17,28,16
16,5,6,11,17,38,44,13
17,10,20,33,36,41,44,5
18,3,5,8,19,38,42,20
19,5,6,9,11,15,37,26
20,2,3,12,20,27,38,40
21,4,9,23,33,39,44,14
22,7,18,19,27,29,42,45
23,8,19,25,28,32,36,37
24,10,14,19,39,40,43,23
25,3,7,14,16,31,40,39
26,7,37,38,39,40,44,18
27,16,21,26,31,36,43,6
28,5,6,26,27,38,39,1
29,3,13,15,40,41,44,20
30,11,12,16,26,29,44,18
31,3,4,7,11,31,41,35
32,3,21,22,33,41,42,20
33,13,19,28,37,38,43,4
34,5,16,21,23,24,30,29
35,2,9,24,41,43,45,30
36,1,4,16,26,40,41,31
37,5,13,17,23,28,36,8
38,15,24,31,32,33,40,13
39,8,17,18,24,39,45,32
40,11,18,21,36,37,43,12
41,14,15,18,21,26,35,23
42,6,15,22,23,25,32,40
43,7,18,22,24,31,34,6
44,3,16,22,37,38,44,23
45,6,7,15,16,20,31,26
46,11,13,25,26,29,33,32
47,4,10,11,12,20,27,38
48,9,12,19,20,39,41,13
49,15,18,21,32,35,44,6
50,1,2,4,23,31,34,8
51,8,17,21,24,27,31,15
52,19,28,31,38,43,44,1
53,1,7,12,15,23,42,11
54,2,9,22,25,31,45,12
55,13,14,26,33,40,43,15
56,3,6,7,20,21,39,13
57,1,7,19,26,27,35,16
58,7,13,30,39,41,45,25
59,9,15,16,21,28,34,24
60,1,2,6,16,19,42,9
61,2,16,17,32,39,45,40
62,6,8,13,30,35,40,21
63,8,16,25,30,42,43,15
64,4,5,11,12,24,27,28
65,5,13,18,23,40,45,3
66,10,17,18,19,23,27,35
67,8,21,25,39,40,44,18
68,7,8,11,16,41,44,35
69,6,9,18,19,25,33,40
70,2,22,27,33,36,37,14
71,14,18,20,23,28,36,33
72,4,8,27,34,39,40,13
73,4,8,18,19,39,44,41
74,8,14,23,36,38,39,13
75,1,5,6,14,20,39,22
76,1,2,7,9,10,38,42
77,2,6,18,21,33,34,30
78,2,19,25,26,27,43,28
79,13,14,22,27,30,38,2
80,2,16,19,31,34,35,37
81,5,11,14,27,29,36,44
82,5,12,17,29,34,35,27
83,4,12,24,33,38,45,22
84,8,10,23,24,35,43,37
85,3,4,12,14,25,43,17
86,8,24,28,35,38,40,5
87,2,8,13,25,28,37,3
88,9,10,13,24,33,38,28
89,2,5,6,13,28,44,43
90,8,13,14,30,38,39,5
91,20,30,36,38,41,45,23
92,6,8,28,33,38,39,22
93,2,8,15,22,25,41,30
94,14,21,29,31,32,37,17
95,2,7,12,15,21,34,5
96,6,7,10,16,38,41,4
97,7,18,30,39,40,41,36
98,8,17,27,33,40,44,24
99,2,12,14,33,40,41,25
100,3,5,14,20,42,44,33
101,5,7,9,11,32,35,33
102,5,7,20,22,37,42,39
103,5,12,14,32,34,42,16
104,16,17,22,31,34,37,33
105,10,11,15,25,35,41,13
106,2,8,20,30,33,34,6
107,14,15,16,19,25,43,2
108,2,4,20,34,35,43,14
109,3,13,18,33,37,45,1
110,11,18,21,26,38,43,29
111,1,12,26,27,29,33,42
112,3,6,13,23,24,35,1
113,1,3,17,20,31,44,40
114,1,10,15,16,32,41,28
115,4,5,6,25,26,43,41
116,4,10,18,27,40,45,38
117,14,19,25,26,27,34,2
118,5,10,16,17,31,32,21
119,4,11,13,17,20,31,33
120,5,7,18,37,42,45,20
121,1,4,20,23,29,45,28
122,11,12,25,32,44,45,23
123,12,15,19,26,40,43,29
124,4,20,26,28,35,40,31
125,12,20,23,28,30,44,43
126,11,17,21,24,26,36,12
127,13,14,17,32,41,42,6
128,2,7,17,28,29,39,37
129,1,10,20,32,35,40,43
130,3,6,20,24,27,44,25
131,1,7,14,20,34,37,41
132,29,31,35,38,40,44,17
133,1,12,13,21,32,45,14
134,6,7,15,22,34,39,28
135,8,17,20,27,37,43,6
136,4,24,25,27,34,35,2
137,5,17,21,25,36,44,10
138,13,18,26,31,34,44,12
139,5,6,19,26,41,45,34
140,8,13,26,28,32,34,43
141,3,12,13,15,34,36,14
142,3,19,22,31,42,43,26
143,6,10,18,31,32,34,11
144,12,23,26,30,36,43,11
145,7,8,18,32,37,43,12
146,11,12,14,15,18,39,34
147,10,24,26,29,37,38,32
148,9,14,15,17,31,33,23
149,16,17,23,24,29,44,3
150,1,5,9,21,27,35,45
151,16,23,27,29,33,41,22
